,time_code,year,month,day,week
620,20141204,2014,12,4,49
621,20141205,2014,12,5,49
622,20141206,2014,12,6,49
623,20141207,2014,12,7,49
624,20141208,2014,12,8,50
625,20141209,2014,12,9,50
626,20141210,2014,12,10,50
627,20141211,2014,12,11,50
628,20141212,2014,12,12,50
629,20141213,2014,12,13,50
630,20141214,2014,12,14,50
631,20141215,2014,12,15,51
632,20141216,2014,12,16,51
633,20141217,2014,12,17,51
634,20141218,2014,12,18,51
635,20141219,2014,12,19,51
636,20141220,2014,12,20,51
637,20141221,2014,12,21,51
638,20141222,2014,12,22,52
639,20141223,2014,12,23,52
640,20141224,2014,12,24,52
641,20141225,2014,12,25,52
642,20141226,2014,12,26,52
643,20141227,2014,12,27,52
644,20141228,2014,12,28,52
645,20141229,2014,12,29,53
646,20141230,2014,12,30,53
647,20141231,2014,12,31,53
651,20150104,2015,1,4,1
652,20150105,2015,1,5,2
653,20150106,2015,1,6,2
654,20150107,2015,1,7,2
655,20150108,2015,1,8,2
656,20150109,2015,1,9,2
657,20150110,2015,1,10,2
658,20150111,2015,1,11,2
659,20150112,2015,1,12,3
660,20150113,2015,1,13,3
661,20150114,2015,1,14,3
662,20150115,2015,1,15,3
663,20150116,2015,1,16,3
664,20150117,2015,1,17,3
665,20150118,2015,1,18,3
666,20150119,2015,1,19,4
667,20150120,2015,1,20,4
668,20150121,2015,1,21,4
669,20150122,2015,1,22,4
670,20150123,2015,1,23,4
671,20150124,2015,1,24,4
672,20150125,2015,1,25,4
673,20150126,2015,1,26,5
674,20150127,2015,1,27,5
675,20150128,2015,1,28,5
676,20150129,2015,1,29,5
677,20150130,2015,1,30,5
678,20150131,2015,1,31,5
679,20150201,2015,2,1,5
680,20150202,2015,2,2,6
681,20150203,2015,2,3,6
682,20150204,2015,2,4,6
683,20150205,2015,2,5,6
684,20150206,2015,2,6,6
685,20150207,2015,2,7,6
686,20150208,2015,2,8,6
687,20150209,2015,2,9,7
688,20150210,2015,2,10,7
689,20150211,2015,2,11,7
690,20150212,2015,2,12,7
691,20150213,2015,2,13,7
692,20150214,2015,2,14,7
693,20150215,2015,2,15,7
694,20150216,2015,2,16,8
695,20150217,2015,2,17,8
696,20150218,2015,2,18,8
697,20150219,2015,2,19,8
698,20150220,2015,2,20,8
699,20150221,2015,2,21,8
700,20150222,2015,2,22,8
701,20150223,2015,2,23,9
702,20150224,2015,2,24,9
703,20150225,2015,2,25,9
704,20150226,2015,2,26,9
705,20150227,2015,2,27,9
706,20150228,2015,2,28,9
707,20150301,2015,3,1,9
708,20150302,2015,3,2,10
709,20150303,2015,3,3,10
710,20150304,2015,3,4,10
711,20150305,2015,3,5,10
712,20150306,2015,3,6,10
713,20150307,2015,3,7,10
714,20150308,2015,3,8,10
715,20150309,2015,3,9,11
716,20150310,2015,3,10,11
717,20150311,2015,3,11,11
718,20150312,2015,3,12,11
719,20150313,2015,3,13,11
720,20150314,2015,3,14,11
721,20150315,2015,3,15,11
722,20150316,2015,3,16,12
723,20150317,2015,3,17,12
724,20150318,2015,3,18,12
725,20150319,2015,3,19,12
726,20150320,2015,3,20,12
727,20150321,2015,3,21,12
728,20150322,2015,3,22,12
729,20150323,2015,3,23,13
730,20150324,2015,3,24,13
731,20150325,2015,3,25,13
732,20150326,2015,3,26,13
733,20150327,2015,3,27,13
734,20150328,2015,3,28,13
735,20150329,2015,3,29,13
736,20150330,2015,3,30,14
737,20150331,2015,3,31,14
738,20150401,2015,4,1,14
739,20150402,2015,4,2,14
740,20150403,2015,4,3,14
741,20150404,2015,4,4,14
742,20150405,2015,4,5,14
743,20150406,2015,4,6,15
744,20150407,2015,4,7,15
745,20150408,2015,4,8,15
746,20150409,2015,4,9,15
747,20150410,2015,4,10,15
748,20150411,2015,4,11,15
749,20150412,2015,4,12,15
750,20150413,2015,4,13,16
751,20150414,2015,4,14,16
752,20150415,2015,4,15,16
753,20150416,2015,4,16,16
754,20150417,2015,4,17,16
755,20150418,2015,4,18,16
756,20150419,2015,4,19,16
757,20150420,2015,4,20,17
758,20150421,2015,4,21,17
759,20150422,2015,4,22,17
760,20150423,2015,4,23,17
761,20150424,2015,4,24,17
762,20150425,2015,4,25,17
763,20150426,2015,4,26,17
764,20150427,2015,4,27,18
765,20150428,2015,4,28,18
766,20150429,2015,4,29,18
767,20150430,2015,4,30,18
768,20150501,2015,5,1,18
769,20150502,2015,5,2,18
770,20150503,2015,5,3,18
771,20150504,2015,5,4,19
772,20150505,2015,5,5,19
773,20150506,2015,5,6,19
774,20150507,2015,5,7,19
775,20150508,2015,5,8,19
776,20150509,2015,5,9,19
777,20150510,2015,5,10,19
778,20150511,2015,5,11,20
779,20150512,2015,5,12,20
780,20150513,2015,5,13,20
781,20150514,2015,5,14,20
782,20150515,2015,5,15,20
783,20150516,2015,5,16,20
784,20150517,2015,5,17,20
785,20150518,2015,5,18,21
786,20150519,2015,5,19,21
787,20150520,2015,5,20,21
788,20150521,2015,5,21,21
789,20150522,2015,5,22,21
790,20150523,2015,5,23,21
791,20150524,2015,5,24,21
792,20150525,2015,5,25,22
793,20150526,2015,5,26,22
794,20150527,2015,5,27,22
795,20150528,2015,5,28,22
796,20150529,2015,5,29,22
797,20150530,2015,5,30,22
798,20150531,2015,5,31,22
799,20150601,2015,6,1,23
800,20150602,2015,6,2,23
801,20150603,2015,6,3,23
802,20150604,2015,6,4,23
803,20150605,2015,6,5,23
804,20150606,2015,6,6,23
805,20150607,2015,6,7,23
806,20150608,2015,6,8,24
807,20150609,2015,6,9,24
808,20150610,2015,6,10,24
809,20150611,2015,6,11,24
810,20150612,2015,6,12,24
811,20150613,2015,6,13,24
812,20150614,2015,6,14,24
813,20150615,2015,6,15,25
814,20150616,2015,6,16,25
815,20150617,2015,6,17,25
816,20150618,2015,6,18,25
817,20150619,2015,6,19,25
818,20150620,2015,6,20,25
819,20150621,2015,6,21,25
820,20150622,2015,6,22,26
821,20150623,2015,6,23,26
822,20150624,2015,6,24,26
823,20150625,2015,6,25,26
824,20150626,2015,6,26,26
825,20150627,2015,6,27,26
826,20150628,2015,6,28,26
827,20150629,2015,6,29,27
828,20150630,2015,6,30,27
829,20150701,2015,7,1,27
830,20150702,2015,7,2,27
831,20150703,2015,7,3,27
832,20150704,2015,7,4,27
833,20150705,2015,7,5,27
834,20150706,2015,7,6,28
835,20150707,2015,7,7,28
836,20150708,2015,7,8,28
837,20150709,2015,7,9,28
838,20150710,2015,7,10,28
839,20150711,2015,7,11,28
840,20150712,2015,7,12,28
841,20150713,2015,7,13,29
842,20150714,2015,7,14,29
843,20150715,2015,7,15,29
844,20150716,2015,7,16,29
845,20150717,2015,7,17,29
846,20150718,2015,7,18,29
847,20150719,2015,7,19,29
848,20150720,2015,7,20,30
849,20150721,2015,7,21,30
850,20150722,2015,7,22,30
851,20150723,2015,7,23,30
852,20150724,2015,7,24,30
853,20150725,2015,7,25,30
854,20150726,2015,7,26,30
855,20150727,2015,7,27,31
856,20150728,2015,7,28,31
857,20150729,2015,7,29,31
858,20150730,2015,7,30,31
859,20150731,2015,7,31,31
860,20150801,2015,8,1,31
861,20150802,2015,8,2,31
862,20150803,2015,8,3,32
863,20150804,2015,8,4,32
864,20150805,2015,8,5,32
865,20150806,2015,8,6,32
866,20150807,2015,8,7,32
867,20150808,2015,8,8,32
868,20150809,2015,8,9,32
869,20150810,2015,8,10,33
870,20150811,2015,8,11,33
871,20150812,2015,8,12,33
872,20150813,2015,8,13,33
873,20150814,2015,8,14,33
874,20150815,2015,8,15,33
875,20150816,2015,8,16,33
876,20150817,2015,8,17,34
877,20150818,2015,8,18,34
878,20150819,2015,8,19,34
879,20150820,2015,8,20,34
880,20150821,2015,8,21,34
881,20150822,2015,8,22,34
882,20150823,2015,8,23,34
883,20150824,2015,8,24,35
884,20150825,2015,8,25,35
885,20150826,2015,8,26,35
886,20150827,2015,8,27,35
887,20150828,2015,8,28,35
888,20150829,2015,8,29,35
889,20150830,2015,8,30,35
890,20150831,2015,8,31,36
891,20150901,2015,9,1,36
892,20150902,2015,9,2,36
893,20150903,2015,9,3,36
894,20150904,2015,9,4,36
895,20150905,2015,9,5,36
896,20150906,2015,9,6,36
897,20150907,2015,9,7,37
898,20150908,2015,9,8,37
899,20150909,2015,9,9,37
900,20150910,2015,9,10,37
901,20150911,2015,9,11,37
902,20150912,2015,9,12,37
903,20150913,2015,9,13,37
904,20150914,2015,9,14,38
905,20150915,2015,9,15,38
906,20150916,2015,9,16,38
907,20150917,2015,9,17,38
908,20150918,2015,9,18,38
909,20150919,2015,9,19,38
910,20150920,2015,9,20,38
911,20150921,2015,9,21,39
912,20150922,2015,9,22,39
913,20150923,2015,9,23,39
914,20150924,2015,9,24,39
915,20150925,2015,9,25,39
916,20150926,2015,9,26,39
917,20150927,2015,9,27,39
918,20150928,2015,9,28,40
919,20150929,2015,9,29,40
920,20150930,2015,9,30,40
921,20151001,2015,10,1,40
922,20151002,2015,10,2,40
923,20151003,2015,10,3,40
924,20151004,2015,10,4,40
925,20151005,2015,10,5,41
926,20151006,2015,10,6,41
927,20151007,2015,10,7,41
928,20151008,2015,10,8,41
929,20151009,2015,10,9,41
930,20151010,2015,10,10,41
931,20151011,2015,10,11,41
932,20151012,2015,10,12,42
933,20151013,2015,10,13,42
934,20151014,2015,10,14,42
